RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1819	06	03	Trewman’s Exeter Flying Post	0002	1819	06	01	Hull Packet	0004
1819	06	03	Trewman’s Exeter Flying Post	0003	1819	06	01	Morning Chronicle	0003
1819	06	05	Caledonian Mercury	0004	1819	06	01	Morning Chronicle	0002
1819	06	05	Caledonian Mercury	0004	1819	06	02	Morning Chronicle	0003
1819	06	05	Jackson’s Oxford Journal	0001	1819	06	03	Derby Mercury	0001
1819	06	05	Morning Chronicle	0003	1819	06	03	Trewman’s Exeter Flying Post	0003
1819	06	05	Newcastle Courant	0002	1819	06	01	Morning Chronicle	0002
1819	06	05	Newcastle Courant	0003	1819	06	03	Derby Mercury	0001
1819	06	05	Newcastle Courant	0004	1819	06	05	Caledonian Mercury	0002
1819	06	06	Examiner	0016	1819	06	02	Morning Chronicle	0003
1819	06	07	Caledonian Mercury	0002	1819	06	03	Morning Chronicle	0002
1819	06	07	Caledonian Mercury	0002	1819	06	03	Morning Chronicle	0003
1819	06	07	Caledonian Mercury	0002	1819	06	05	Morning Chronicle	0002
1819	06	07	Hampshire/Portsmouth Telegraph	0004	1819	06	05	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0001	1819	06	01	Morning Chronicle	0003
1819	06	07	Bristol Mercury	0001	1819	06	03	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0002	1819	06	04	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0002	1819	06	05	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0002	1819	06	07	Hampshire/Portsmouth Telegraph	0004
1819	06	07	Bristol Mercury	0003	1819	06	01	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0003	1819	06	05	Morning Chronicle	0003
1819	06	07	Bristol Mercury	0004	1819	06	01	Morning Chronicle	0003
1819	06	07	Bristol Mercury	0004	1819	06	03	Morning Chronicle	0002
1819	06	07	Bristol Mercury	0004	1819	06	07	Caledonian Mercury	0002
1819	06	08	Hull Packet	0002	1819	06	05	Morning Chronicle	0002
1819	06	08	Hull Packet	0002	1819	06	07	Caledonian Mercury	0002
1819	06	08	Hull Packet	0002	1819	06	07	Bristol Mercury	0002
1819	06	08	Hull Packet	0003	1819	06	05	Newcastle Courant	0004
1819	06	10	Caledonian Mercury	0002	1819	06	07	Morning Chronicle	0002
1819	06	10	Caledonian Mercury	0004	1819	06	05	Morning Chronicle	0003
1819	06	10	Morning Chronicle	0002	1819	06	03	Caledonian Mercury	0003
1819	06	10	Trewman’s Exeter Flying Post	0001	1819	06	05	Morning Chronicle	0002
1819	06	10	Trewman’s Exeter Flying Post	0002	1819	06	03	Morning Chronicle	0003
1819	06	10	Trewman’s Exeter Flying Post	0002	1819	06	05	Morning Chronicle	0002
1819	06	10	Trewman’s Exeter Flying Post	0002	1819	06	08	Hull Packet	0002
1819	06	10	Trewman’s Exeter Flying Post	0003	1819	06	02	Morning Chronicle	0003
1819	06	10	Trewman’s Exeter Flying Post	0003	1819	06	07	Bristol Mercury	0001
1819	06	12	Caledonian Mercury	0004	1819	06	10	Trewman’s Exeter Flying Post	0003
1819	06	12	Jackson’s Oxford Journal	0002	1819	06	12	Caledonian Mercury	0003
1819	06	12	Ipswich Journal	0004	1819	06	12	Caledonian Mercury	0002
1819	06	12	Leeds Mercury	0002	1819	06	05	Morning Chronicle	0002
1819	06	12	Morning Chronicle	0003	1819	06	12	Jackson’s Oxford Journal	0002
1819	06	12	Newcastle Courant	0002	1819	06	05	Morning Chronicle	0002
1819	06	12	Newcastle Courant	0002	1819	06	07	Caledonian Mercury	0002
1819	06	12	Newcastle Courant	0002	1819	06	07	Caledonian Mercury	0003
1819	06	12	Newcastle Courant	0002	1819	06	10	Trewman’s Exeter Flying Post	0002
1819	06	12	Newcastle Courant	0003	1819	06	12	Leeds Mercury	0004
1819	06	12	Newcastle Courant	0004	1819	06	12	Caledonian Mercury	0003
1819	06	14	Caledonian Mercury	0002	1819	06	12	Jackson’s Oxford Journal	0002
1819	06	14	Hampshire/Portsmouth Telegraph	0002	1819	06	12	Morning Chronicle	0003
1819	06	14	Bristol Mercury	0001	1819	06	08	Morning Chronicle	0002
1819	06	14	Bristol Mercury	0001	1819	06	09	Morning Chronicle	0002
1819	06	14	Bristol Mercury	0001	1819	06	09	Morning Chronicle	0003
1819	06	14	Bristol Mercury	0001	1819	06	10	Morning Chronicle	0002
1819	06	14	Bristol Mercury	0004	1819	06	10	Morning Chronicle	0003
1819	06	15	Hull Packet	0003	1819	06	12	Morning Chronicle	0003
1819	06	16	Aberdeen Journal	0004	1819	06	12	Newcastle Courant	0004
1819	06	17	Caledonian Mercury	0002	1819	06	12	Morning Chronicle	0003
1819	06	17	Caledonian Mercury	0003	1819	06	12	Morning Chronicle	0001
1819	06	17	Trewman’s Exeter Flying Post	0003	1819	06	12	Morning Chronicle	0002
1819	06	19	Caledonian Mercury	0002	1819	06	15	Morning Chronicle	0003
1819	06	19	Caledonian Mercury	0002	1819	06	16	Morning Chronicle	0003
1819	06	19	Ipswich Journal	0004	1819	06	19	Jackson’s Oxford Journal	0004
1819	06	19	Morning Chronicle	0004	1819	06	12	Ipswich Journal	0001
1819	06	19	Morning Chronicle	0004	1819	06	19	Ipswich Journal	0001
1819	06	19	Newcastle Courant	0002	1819	06	14	Morning Chronicle	0002
1819	06	19	Newcastle Courant	0003	1819	06	05	Leeds Mercury	0004
1819	06	21	Caledonian Mercury	0002	1819	06	17	Morning Chronicle	0003
1819	06	21	Caledonian Mercury	0002	1819	06	18	Morning Chronicle	0002
1819	06	21	Caledonian Mercury	0002	1819	06	19	Newcastle Courant	0002
1819	06	21	Caledonian Mercury	0004	1819	06	06	Examiner	0015
1819	06	21	Caledonian Mercury	0004	1819	06	12	Morning Chronicle	0002
1819	06	21	Caledonian Mercury	0004	1819	06	17	Trewman’s Exeter Flying Post	0003
1819	06	21	Bristol Mercury	0001	1819	06	10	Trewman’s Exeter Flying Post	0003
1819	06	21	Bristol Mercury	0001	1819	06	15	Morning Chronicle	0002
1819	06	21	Bristol Mercury	0004	1819	06	16	Morning Chronicle	0002
1819	06	21	Bristol Mercury	0004	1819	06	16	Morning Chronicle	0003
1819	06	21	Bristol Mercury	0004	1819	06	17	Morning Chronicle	0002
1819	06	21	Bristol Mercury	0004	1819	06	21	Caledonian Mercury	0002
1819	06	23	Aberdeen Journal	0004	1819	06	19	Newcastle Courant	0004
1819	06	24	Caledonian Mercury	0002	1819	06	22	Morning Chronicle	0003
1819	06	24	Caledonian Mercury	0004	1819	06	19	Morning Chronicle	0002
1819	06	24	Caledonian Mercury	0004	1819	06	19	Morning Chronicle	0003
1819	06	24	Derby Mercury	0001	1819	06	19	Jackson’s Oxford Journal	0004
1819	06	24	Derby Mercury	0001	1819	06	19	Ipswich Journal	0004
1819	06	24	Morning Chronicle	0002	1819	06	21	Caledonian Mercury	0003
1819	06	24	Trewman’s Exeter Flying Post	0003	1819	06	21	Bristol Mercury	0001
1819	06	24	Trewman’s Exeter Flying Post	0003	1819	06	21	Bristol Mercury	0002
1819	06	25	Liverpool Mercury	0002	1819	06	17	Morning Chronicle	0002
1819	06	25	Liverpool Mercury	0002	1819	06	19	Morning Chronicle	0002
1819	06	26	Caledonian Mercury	0002	1819	06	22	Morning Chronicle	0003
1819	06	26	Jackson’s Oxford Journal	0002	1819	06	21	Caledonian Mercury	0003
1819	06	26	Jackson’s Oxford Journal	0002	1819	06	23	Morning Chronicle	0003
1819	06	26	Jackson’s Oxford Journal	0004	1819	06	24	Derby Mercury	0001
1819	06	26	Ipswich Journal	0004	1819	06	24	Derby Mercury	0001
1819	06	26	Ipswich Journal	0004	1819	06	26	Jackson’s Oxford Journal	0001
1819	06	26	Ipswich Journal	0004	1819	06	26	Jackson’s Oxford Journal	0004
1819	06	26	Leeds Mercury	0002	1819	06	19	Morning Chronicle	0003
1819	06	26	Morning Chronicle	0004	1819	06	12	Ipswich Journal	0003
1819	06	26	Morning Chronicle	0004	1819	06	19	Ipswich Journal	0001
1819	06	26	Morning Chronicle	0004	1819	06	26	Ipswich Journal	0001
1819	06	26	Newcastle Courant	0002	1819	06	19	Caledonian Mercury	0003
1819	06	26	Newcastle Courant	0002	1819	06	21	Caledonian Mercury	0002
1819	06	26	Newcastle Courant	0002	1819	06	21	Caledonian Mercury	0003
1819	06	26	Newcastle Courant	0002	1819	06	26	Jackson’s Oxford Journal	0002
1819	06	26	Newcastle Courant	0003	1819	06	07	Bristol Mercury	0001
1819	06	26	Newcastle Courant	0003	1819	06	12	Leeds Mercury	0004
1819	06	28	Caledonian Mercury	0002	1819	06	25	Morning Chronicle	0002
1819	06	28	Bristol Mercury	0001	1819	06	22	Morning Chronicle	0002
1819	06	28	Bristol Mercury	0001	1819	06	22	Morning Chronicle	0003
1819	06	28	Bristol Mercury	0001	1819	06	24	Derby Mercury	0001
1819	06	28	Bristol Mercury	0001	1819	06	26	Caledonian Mercury	0002
1819	06	28	Bristol Mercury	0002	1819	06	26	Morning Chronicle	0002
1819	06	28	Bristol Mercury	0002	1819	06	26	Morning Chronicle	0003
1819	06	28	Bristol Mercury	0004	1819	06	23	Morning Chronicle	0002
1819	06	28	Bristol Mercury	0004	1819	06	23	Morning Chronicle	0003
